date,Close
20080208  12:00:00,132.73
20080208  12:00:00,132.73
20080208  12:00:00,132.73
20080208  12:30:00,133.05
20080208  12:30:00,133.05
20080208  12:30:00,133.05
20080208  13:00:00,132.68
20080208  13:00:00,132.68
20080208  13:00:00,132.68
20080208  13:30:00,132.97
20080208  13:30:00,132.97
20080208  13:30:00,132.97
20080211  08:00:00,132.69
20080211  08:30:00,132.41
20080211  09:00:00,132.79
20080211  09:30:00,132.84
20080211  10:00:00,132.91
20080211  10:30:00,133.03
20080211  11:00:00,134.05
20080211  11:30:00,134.15
20080211  12:00:00,133.88
20080211  12:30:00,133.64
20080211  13:00:00,133.73
20080211  13:30:00,133.95
20080212  08:00:00,135.22
20080212  08:30:00,135.71
20080212  09:00:00,136.15
20080212  09:30:00,136.1
20080212  10:00:00,135.85
20080212  10:30:00,135.36
20080212  11:00:00,135.49
20080212  11:30:00,135.78
20080212  12:00:00,135.82
20080212  12:30:00,135.42
20080212  13:00:00,135.71
20080212  13:30:00,134.7
20080213  08:00:00,135.9
20080213  08:30:00,135.4
20080213  09:00:00,135.5
20080213  09:30:00,135.91
20080213  10:00:00,135.75
20080213  10:30:00,135.89
20080213  11:00:00,135.96
20080213  11:30:00,136.4
20080213  12:00:00,136.44
20080213  12:30:00,136.23
20080213  13:00:00,136.61
20080213  13:30:00,136.65
20080214  08:00:00,136.7
20080214  08:30:00,136.76
20080214  09:00:00,136.26
20080214  09:30:00,135.81
20080214  10:00:00,135.65
20080214  10:30:00,136.03
20080214  11:00:00,135.63
20080214  11:30:00,135.49
20080214  12:00:00,135.64
20080214  12:30:00,135.53
20080214  13:00:00,135.26
20080214  13:30:00,135.72
20080215  08:00:00,134.08
20080215  08:00:00,134.08
20080215  08:00:00,134.08
20080215  08:00:00,134.08
20080215  08:30:00,134.89
20080215  08:30:00,134.89
20080215  08:30:00,134.89
20080215  08:30:00,134.89
20080215  09:00:00,134.48
20080215  09:00:00,134.48
20080215  09:00:00,134.48
20080215  09:00:00,134.48
20080215  09:30:00,134.36
20080215  09:30:00,134.36
20080215  09:30:00,134.36
20080215  09:30:00,134.36
20080215  10:00:00,134.45
20080215  10:00:00,134.45
20080215  10:00:00,134.45
20080215  10:00:00,134.45
20080215  10:30:00,133.97
20080215  10:30:00,133.97
20080215  10:30:00,133.97
20080215  10:30:00,133.97
20080215  11:00:00,134.17
20080215  11:00:00,134.17
20080215  11:00:00,134.17
20080215  11:00:00,134.17
20080215  11:30:00,134.19
20080215  11:30:00,134.19
20080215  11:30:00,134.19
20080215  11:30:00,134.19
20080215  12:00:00,134.58
20080215  12:00:00,134.58
20080215  12:00:00,134.58
20080215  12:00:00,134.58
20080215  12:30:00,134.46
20080215  12:30:00,134.46
20080215  12:30:00,134.46
20080215  12:30:00,134.46
20080215  13:00:00,134.49
20080215  13:00:00,134.49
20080215  13:00:00,134.49
20080215  13:00:00,134.49
20080215  13:30:00,134.62
20080215  13:30:00,134.62
20080215  13:30:00,134.62
20080215  13:30:00,134.62
20080219  08:00:00,136.27
20080219  08:30:00,136.06
20080219  09:00:00,136.01
20080219  09:30:00,135.59
20080219  10:00:00,135.96
20080219  10:30:00,136.04
20080219  11:00:00,135.98
20080219  11:30:00,136.3
20080219  12:00:00,136.04
20080219  12:30:00,135.97
20080219  13:00:00,134.96
20080219  13:30:00,134.81
20080220  08:00:00,134.03
20080220  08:30:00,134.29
20080220  09:00:00,134.18
20080220  09:30:00,134.37
20080220  10:00:00,134.34
20080220  10:30:00,135.38
20080220  11:00:00,135.23
20080220  11:30:00,135.11
20080220  12:00:00,135.95
20080220  12:30:00,135.59
20080220  13:00:00,136.21
20080220  13:30:00,135.8
20080221  08:00:00,136.21
20080221  08:30:00,136.35
20080221  09:00:00,135.51
20080221  09:30:00,135.93
20080221  10:00:00,135.93
20080221  10:30:00,135.28
20080221  11:00:00,135.48
20080221  11:30:00,135.1
20080221  12:00:00,135.08
20080221  12:30:00,135.21
20080221  13:00:00,134.82
20080221  13:30:00,134.62
20080222  08:00:00,134.34
20080222  08:00:00,134.34
20080222  08:00:00,134.34
20080222  08:30:00,133.79
20080222  08:30:00,133.79
20080222  08:30:00,133.79
20080222  09:00:00,133.64
20080222  09:00:00,133.64
20080222  09:00:00,133.64
20080222  09:30:00,133.8
20080222  09:30:00,133.8
20080222  09:30:00,133.8
20080222  10:00:00,133.67
20080222  10:00:00,133.67
20080222  10:00:00,133.67
20080222  10:30:00,133.23
20080222  10:30:00,133.23
20080222  10:30:00,133.23
20080222  11:00:00,133.35
20080222  11:00:00,133.35
20080222  11:00:00,133.35
20080222  11:30:00,133.25
20080222  11:30:00,133.25
20080222  11:30:00,133.25
20080222  12:00:00,133.29
20080222  12:00:00,133.29
20080222  12:00:00,133.29
20080222  12:30:00,133.16
20080222  12:30:00,133.16
20080222  12:30:00,133.16
20080222  13:00:00,133.51
20080222  13:00:00,133.51
20080222  13:00:00,133.51
20080222  13:30:00,133.72
20080222  13:30:00,133.72
20080222  13:30:00,133.72
20080225  08:00:00,135.28
20080225  08:30:00,136.11
20080225  09:00:00,136.32
20080225  09:30:00,136.11
20080225  10:00:00,135.58
20080225  10:30:00,135.56
20080225  11:00:00,135.69
20080225  11:30:00,135.59
20080225  12:00:00,135.63
20080225  12:30:00,137.1
20080225  13:00:00,136.63
20080225  13:30:00,136.9
20080226  08:00:00,136.7
20080226  08:30:00,136.81
20080226  09:00:00,137.24
20080226  09:30:00,137.53
20080226  10:00:00,138.05
20080226  10:30:00,138.55
20080226  11:00:00,138.7
20080226  11:30:00,138.44
20080226  12:00:00,138.27
20080226  12:30:00,138.66
20080226  13:00:00,138.53
20080226  13:30:00,138.38
20080227  08:00:00,137.87
20080227  08:30:00,137.68
20080227  09:00:00,138.72
20080227  09:30:00,138.6
20080227  10:00:00,138.97
20080227  10:30:00,138.66
20080227  11:00:00,139
20080227  11:30:00,138.85
